species_name,assembly_ids
Rhizobium binxianense,GCA_028548195.1;GCA_028613575.1;GCA_028613695.1;GCA_028994075.1;GCA_028994275.1;GCA_976997425.1
Rhizobium centroccidentale,GCA_030182565.1
Rhizobium cerradonense,GCA_030182455.1
Rhizobium changzhiense,GCA_013087625.1;GCA_013426945.1;GCA_014050125.1;GCA_022487505.1
Rhizobium fabae,GCA_003985135.1;GCA_014196235.1
Rhizobium flavescens,GCA_011319365.1
Rhizobium indigoferae,GCA_013087605.1;GCA_030160595.1;GCA_034554815.1
Rhizobium kunmingense,GCA_977018605.1
Rhizobium mayense,GCA_030272705.1;GCA_046762185.1
Rhizobium moroccans,GCA_057559155.1
Rhizobium mulingense,GCA_029194105.1;GCA_034720605.1;GCA_035282125.1
Rhizobium oryzicola,GCA_030504645.1
Rhizobium pantanalense,GCA_030182525.1
Rhizobium quercicola,GCA_021168455.1
Rhizobium yanglingense,GCA_002200935.1;GCA_977109285.1
Xanthomonas alfalfae,GCA_001855615.1
Xanthomonas bundabergensis,GCA_041240605.1
Xanthomonas cerealis,GCA_000807145.1;GCA_001707115.1;GCA_006838285.1;GCA_021903335.1;GCA_021906995.1
Xanthomonas chitinilytica,GCA_026107455.2
Xanthomonas graminis,GCA_000313775.1;GCA_001269865.1;GCA_001282765.1;GCA_001282805.1;GCA_001282885.1;GCA_001659895.1;GCA_001659905.1;GCA_001659965.1;GCA_001707285.1;GCA_001707335.1;GCA_001707435.1;GCA_021903375.1;GCA_021903515.1;GCA_021906975.1;GCA_021919185.1;GCA_021919285.1;GCA_030168915.1;GCA_030168935.1;GCA_030168955.1;GCA_030168975.1;GCA_055476535.1;GCA_900092365.1;GCA_900092415.1;GCA_900092425.1;GCA_900092485.1;GCA_900092495.1;GCA_900092565.1
Xanthomonas hawaiiensis,GCA_017745875.1;GCA_031834475.1;GCA_031834635.1
Xanthomonas indica,GCA_022669045.1;GCA_022669065.1;GCA_040529045.1
Xanthomonas medicagonis,GCA_041242975.1
