organism_name,assembly_id
Schizochytrium sp. TIO01,GCA_004764695.1
Sclerospora graminicola,GCA_001887855.2
Seminavis robusta,GCA_903772945.1
Sergeia podlipaevii,GCA_030849805.1
Shionodiscus oestrupii,GCA_036939715.1
Skeletonema costatum,GCA_018806925.1
Skeletonema dohrnii,GCA_036939515.1
Skeletonema grethae,GCA_036939775.1
Skeletonema marinoi,GCA_030544225.1
Skeletonema menzelii,GCA_036940005.1
Skeletonema potamos,GCA_036940105.1
Skeletonema tropicum,GCA_037178625.1
Speleostelium caveatum,GCA_003667305.1
Sphaeroforma arctica,GCF_001186125.1
Sphaeroforma sirkka,GCA_001586965.3
